"","gains_losses","value","flux","case"
"133","east_extwalls_swlights_gain",1624.43126370013,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"134","none_roof_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"135","none_floor_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"136","none_intwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"137","south_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"138","north_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"139","west_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"140","east_extwalls_swlights_loss",0,"SW. Lights","U001_Caso01_1a7_ac_nbr_1.csv"
"141","none_roof_lwinternal_gain",83287.1566048726,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"142","none_floor_lwinternal_gain",83287.1566048726,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"143","none_intwalls_lwinternal_gain",96779.546935466,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"144","south_extwalls_lwinternal_gain",28540.249523981,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"145","north_extwalls_lwinternal_gain",13020.5414551731,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"146","west_extwalls_lwinternal_gain",40258.7368336368,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"147","east_extwalls_lwinternal_gain",11174.3452786934,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"148","none_roof_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"149","none_floor_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"150","none_intwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"151","south_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"152","north_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"153","west_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"154","east_extwalls_lwinternal_loss",0,"LW. Internal","U001_Caso01_1a7_ac_nbr_1.csv"
"155","none_roof_lwsurfaces_gain",164907.868428466,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"156","none_floor_lwsurfaces_gain",858827.85545807,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"157","none_intwalls_lwsurfaces_gain",275670.986058929,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"158","south_extwalls_lwsurfaces_gain",458483.377733591,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"159","north_extwalls_lwsurfaces_gain",130257.932552233,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
"160","west_extwalls_lwsurfaces_gain",433571.851892419,"LW. Surfaces","U001_Caso01_1a7_ac_nbr_1.csv"
