"","gains_losses","value","flux","case","city","app","case_graph","gains","exchange","sum","per"
"60","east_extwalls_lwsurfaces_loss",-645831.952085081,"lwsurfaces","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1225353.49691617,0.5271
"61","none_roof_convection_gain",7778.08123362313,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","roof",1138220.65489593,0.0068
"62","none_floor_convection_gain",40499.149571476,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","floor",1402504.51015534,0.0289
"63","none_intwalls_convection_gain",107334.408151871,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1723548.28956615,0.0623
"64","south_extwalls_convection_gain",24226.4913015124,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",495961.096024245,0.0488
"65","east_extwalls_convection_gain",208.482505454921,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1213334.14445817,2e-04
"66","none_roof_convection_loss",-386165.414607923,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1138218.8073818,0.3393
"67","none_floor_convection_loss",-629111.467854609,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1402503.35131599,0.4486
"68","none_intwalls_convection_loss",-806956.543803384,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1723545.38241085,0.4682
"69","south_extwalls_convection_loss",-224931.295525972,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-495960.427845522,0.4535
"70","east_extwalls_convection_loss",-537329.631021036,"convection","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1213334.83675694,0.4429
"71","none_roof_conduction_gain",930680.344224077,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","roof",1138220.65489593,0.8177
"72","none_floor_conduction_gain",766771.197977748,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","floor",1402504.51015534,0.5467
"73","none_intwalls_conduction_gain",787414.921862847,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1723548.28956615,0.4569
"74","south_extwalls_conduction_gain",150627.214528655,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",495961.096024245,0.3037
"75","east_extwalls_conduction_gain",878737.147621131,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1213334.14445817,0.7242
"76","none_roof_conduction_loss",-107374.287351695,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1138218.8073818,0.0943
"77","none_floor_conduction_loss",-557130.565917639,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1402503.35131599,0.3972
"78","none_intwalls_conduction_loss",-834319.751720448,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1723545.38241085,0.4841
"79","south_extwalls_conduction_loss",-195863.330113133,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-495960.427845522,0.3949
"80","east_extwalls_conduction_loss",-29694.4583606296,"conduction","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1213334.83675694,0.0245
"81","none_roof_solarrad_gain",107031.270868713,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","roof",1138220.65489593,0.094
"82","none_floor_solarrad_gain",152232.826519923,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","floor",1402504.51015534,0.1085
"83","none_intwalls_solarrad_gain",201820.822521809,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1723548.28956615,0.1171
"84","south_extwalls_solarrad_gain",35831.4535738665,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",495961.096024245,0.0722
"85","east_extwalls_solarrad_gain",120597.100890268,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1213334.14445817,0.0994
"86","none_roof_solarrad_loss",0,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1138218.8073818,0
"87","none_floor_solarrad_loss",0,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1402503.35131599,0
"88","none_intwalls_solarrad_loss",0,"solarrad","U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1723545.38241085,0
