"","date_graph","time","month","day","gains_losses","value","flux","case"
"60",2019-10-01 11:00:00,12,10,1,"none_floor_convection_gain",58.2906163283393,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"61",2019-10-01 12:00:00,13,10,1,"none_floor_convection_gain",74.599327028467,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"62",2019-10-01 13:00:00,14,10,1,"none_floor_convection_gain",93.3665670595406,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"63",2019-10-01 14:00:00,15,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"64",2019-10-01 15:00:00,16,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"65",2019-10-01 16:00:00,17,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"66",2019-10-01 17:00:00,18,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"67",2019-10-01 18:00:00,19,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"68",2019-10-01 19:00:00,20,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"69",2019-10-01 20:00:00,21,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"70",2019-10-01 21:00:00,22,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"71",2019-10-01 22:00:00,23,10,1,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"72",2019-10-01 23:00:00,24,10,1,"none_floor_convection_gain",1.75763624454405,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"73",2019-10-02 00:00:00,1,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"74",2019-10-02 01:00:00,2,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"75",2019-10-02 02:00:00,3,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"76",2019-10-02 03:00:00,4,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"77",2019-10-02 04:00:00,5,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"78",2019-10-02 05:00:00,6,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"79",2019-10-02 06:00:00,7,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"80",2019-10-02 07:00:00,8,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"81",2019-10-02 08:00:00,9,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"82",2019-10-02 09:00:00,10,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"83",2019-10-02 10:00:00,11,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"84",2019-10-02 11:00:00,12,10,2,"none_floor_convection_gain",3.46411098401051,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"85",2019-10-02 12:00:00,13,10,2,"none_floor_convection_gain",10.0212764066763,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"86",2019-10-02 13:00:00,14,10,2,"none_floor_convection_gain",17.4270521740748,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"87",2019-10-02 14:00:00,15,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"88",2019-10-02 15:00:00,16,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"89",2019-10-02 16:00:00,17,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"90",2019-10-02 17:00:00,18,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"91",2019-10-02 18:00:00,19,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"92",2019-10-02 19:00:00,20,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"93",2019-10-02 20:00:00,21,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"94",2019-10-02 21:00:00,22,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"95",2019-10-02 22:00:00,23,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"96",2019-10-02 23:00:00,24,10,2,"none_floor_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"97",2019-10-01 00:00:00,1,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"98",2019-10-01 01:00:00,2,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"99",2019-10-01 02:00:00,3,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"100",2019-10-01 03:00:00,4,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"101",2019-10-01 04:00:00,5,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"102",2019-10-01 05:00:00,6,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"103",2019-10-01 06:00:00,7,10,1,"none_intwalls_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
