"","gains_losses","value","case","city","app","case_graph","gains","exchange","per"
"68","east_extwalls_convection_loss",-3900.90041749338,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","loss","east_extwalls",0.0028
"69","south_windows_convection_loss",-57796.9958092686,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","loss","south_windows",0.042
"70","internal_gains",232390.554364491,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","gain","internal_gains",0.1695
"71","vn_window_loss",-888363.873351679,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","loss","vn_window",0.6458
"72","vn_window_gain",0,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","gain","vn_window",0
"73","vn_interzone_loss",-334379.361114001,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","loss","vn_interzone",0.2431
"74","vn_interzone_gain",211946.910556811,"U001_Caso01_1a7_vn_nbr_1.csv","belem","DORM1","Natural Ventilation","gain","vn_interzone",0.1545
"75","none_roof_convection_gain",375976.61720264,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","roof",0.124
"76","none_floor_convection_gain",603104.908508187,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","floor",0.1989
"77","none_intwalls_convection_gain",705690.639798484,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","intwalls",0.2327
"78","north_extwalls_convection_gain",356459.538289387,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","north_extwalls",0.1175
"79","west_extwalls_convection_gain",94783.6900807875,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","west_extwalls",0.0313
"80","east_extwalls_convection_gain",415362.663164111,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","east_extwalls",0.137
"81","east_windows_convection_gain",37369.6683688236,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","east_windows",0.0123
"82","none_roof_convection_loss",-1472.4670287518,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","roof",5e-04
"83","none_floor_convection_loss",-33169.1843976942,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","floor",0.011
"84","none_intwalls_convection_loss",-68125.9276837993,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","intwalls",0.0226
"85","north_extwalls_convection_loss",-16449.1714580067,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","north_extwalls",0.0055
"86","west_extwalls_convection_loss",-6628.87313054912,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","west_extwalls",0.0022
"87","east_extwalls_convection_loss",-225.971815459629,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","east_extwalls",1e-04
"88","east_windows_convection_loss",-26642.4645081834,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","east_windows",0.0088
"89","internal_gains",380735.329046431,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","internal_gains",0.1256
"90","cooling",-2669464.84898473,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","loss","cooling",0.8856
"91","heating",0,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM2","Air Conditioner","gain","heating",0
