"","date_graph","time","month","day","gains_losses","value","case"
"62",2019-07-15 13:00:00,14,7,15,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"63",2019-07-15 14:00:00,15,7,15,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"64",2019-07-15 15:00:00,16,7,15,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"65",2019-07-15 16:00:00,17,7,15,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"66",2019-07-15 17:00:00,18,7,15,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"67",2019-07-15 18:00:00,19,7,15,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"68",2019-07-15 19:00:00,20,7,15,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"69",2019-07-15 20:00:00,21,7,15,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"70",2019-07-15 21:00:00,22,7,15,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"71",2019-07-15 22:00:00,23,7,15,"none_floor_convection_gain",18.4453080359024,"U001_Caso01_1a7_ac_in1_1.csv"
"72",2019-07-15 23:00:00,24,7,15,"none_floor_convection_gain",32.4968456991319,"U001_Caso01_1a7_ac_in1_1.csv"
"73",2019-07-16 00:00:00,1,7,16,"none_floor_convection_gain",45.4864348355404,"U001_Caso01_1a7_ac_in1_1.csv"
"74",2019-07-16 01:00:00,2,7,16,"none_floor_convection_gain",59.2277638686125,"U001_Caso01_1a7_ac_in1_1.csv"
"75",2019-07-16 02:00:00,3,7,16,"none_floor_convection_gain",76.6801261026509,"U001_Caso01_1a7_ac_in1_1.csv"
"76",2019-07-16 03:00:00,4,7,16,"none_floor_convection_gain",96.1826433474978,"U001_Caso01_1a7_ac_in1_1.csv"
"77",2019-07-16 04:00:00,5,7,16,"none_floor_convection_gain",103.542821934222,"U001_Caso01_1a7_ac_in1_1.csv"
"78",2019-07-16 05:00:00,6,7,16,"none_floor_convection_gain",110.420646749,"U001_Caso01_1a7_ac_in1_1.csv"
"79",2019-07-16 06:00:00,7,7,16,"none_floor_convection_gain",116.172474959145,"U001_Caso01_1a7_ac_in1_1.csv"
"80",2019-07-16 07:00:00,8,7,16,"none_floor_convection_gain",121.487778084221,"U001_Caso01_1a7_ac_in1_1.csv"
"81",2019-07-16 08:00:00,9,7,16,"none_floor_convection_gain",94.3458055639132,"U001_Caso01_1a7_ac_in1_1.csv"
"82",2019-07-16 09:00:00,10,7,16,"none_floor_convection_gain",88.0495772926859,"U001_Caso01_1a7_ac_in1_1.csv"
"83",2019-07-16 10:00:00,11,7,16,"none_floor_convection_gain",64.8915267410406,"U001_Caso01_1a7_ac_in1_1.csv"
"84",2019-07-16 11:00:00,12,7,16,"none_floor_convection_gain",41.0486170016421,"U001_Caso01_1a7_ac_in1_1.csv"
"85",2019-07-16 12:00:00,13,7,16,"none_floor_convection_gain",23.5257850198961,"U001_Caso01_1a7_ac_in1_1.csv"
"86",2019-07-16 13:00:00,14,7,16,"none_floor_convection_gain",11.5969286189814,"U001_Caso01_1a7_ac_in1_1.csv"
"87",2019-07-16 14:00:00,15,7,16,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"88",2019-07-16 15:00:00,16,7,16,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"89",2019-07-16 16:00:00,17,7,16,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"90",2019-07-16 17:00:00,18,7,16,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"91",2019-07-16 18:00:00,19,7,16,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"92",2019-07-16 19:00:00,20,7,16,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"93",2019-07-16 20:00:00,21,7,16,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"94",2019-07-16 21:00:00,22,7,16,"none_floor_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"95",2019-07-16 22:00:00,23,7,16,"none_floor_convection_gain",32.6650942977294,"U001_Caso01_1a7_ac_in1_1.csv"
"96",2019-07-16 23:00:00,24,7,16,"none_floor_convection_gain",42.4248379516202,"U001_Caso01_1a7_ac_in1_1.csv"
"97",2019-07-15 00:00:00,1,7,15,"none_intwalls_convection_gain",41.2072722544933,"U001_Caso01_1a7_ac_in1_1.csv"
"98",2019-07-15 01:00:00,2,7,15,"none_intwalls_convection_gain",46.0655570280213,"U001_Caso01_1a7_ac_in1_1.csv"
"99",2019-07-15 02:00:00,3,7,15,"none_intwalls_convection_gain",50.3419347055335,"U001_Caso01_1a7_ac_in1_1.csv"
"100",2019-07-15 03:00:00,4,7,15,"none_intwalls_convection_gain",63.3347872824046,"U001_Caso01_1a7_ac_in1_1.csv"
"101",2019-07-15 04:00:00,5,7,15,"none_intwalls_convection_gain",72.771930262933,"U001_Caso01_1a7_ac_in1_1.csv"
"102",2019-07-15 05:00:00,6,7,15,"none_intwalls_convection_gain",72.9452075149906,"U001_Caso01_1a7_ac_in1_1.csv"
"103",2019-07-15 06:00:00,7,7,15,"none_intwalls_convection_gain",71.6746272248672,"U001_Caso01_1a7_ac_in1_1.csv"
"104",2019-07-15 07:00:00,8,7,15,"none_intwalls_convection_gain",70.2304745255833,"U001_Caso01_1a7_ac_in1_1.csv"
"105",2019-07-15 08:00:00,9,7,15,"none_intwalls_convection_gain",41.592869250293,"U001_Caso01_1a7_ac_in1_1.csv"
"106",2019-07-15 09:00:00,10,7,15,"none_intwalls_convection_gain",25.8800858204159,"U001_Caso01_1a7_ac_in1_1.csv"
"107",2019-07-15 10:00:00,11,7,15,"none_intwalls_convection_gain",4.82151931165821,"U001_Caso01_1a7_ac_in1_1.csv"
"108",2019-07-15 11:00:00,12,7,15,"none_intwalls_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"109",2019-07-15 12:00:00,13,7,15,"none_intwalls_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"110",2019-07-15 13:00:00,14,7,15,"none_intwalls_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"111",2019-07-15 14:00:00,15,7,15,"none_intwalls_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"112",2019-07-15 15:00:00,16,7,15,"none_intwalls_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"113",2019-07-15 16:00:00,17,7,15,"none_intwalls_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"114",2019-07-15 17:00:00,18,7,15,"none_intwalls_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"115",2019-07-15 18:00:00,19,7,15,"none_intwalls_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
"116",2019-07-15 19:00:00,20,7,15,"none_intwalls_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv"
