"","month","gains_losses","value","case"
"99",11,"west_windows_convection_gain",1540.42558832423,"U001_Caso01_1a7_ac_in1_1.csv"
"100",12,"none_roof_convection_gain",63578.134143177,"U001_Caso01_1a7_ac_in1_1.csv"
"101",12,"none_floor_convection_gain",47583.24204546,"U001_Caso01_1a7_ac_in1_1.csv"
"102",12,"none_intwalls_convection_gain",69438.457642854,"U001_Caso01_1a7_ac_in1_1.csv"
"103",12,"south_extwalls_convection_gain",20123.4912998073,"U001_Caso01_1a7_ac_in1_1.csv"
"104",12,"north_extwalls_convection_gain",7161.25761373796,"U001_Caso01_1a7_ac_in1_1.csv"
"105",12,"west_extwalls_convection_gain",43916.8819272672,"U001_Caso01_1a7_ac_in1_1.csv"
"106",12,"east_extwalls_convection_gain",12791.1019488285,"U001_Caso01_1a7_ac_in1_1.csv"
"107",12,"south_windows_convection_gain",1978.99875968741,"U001_Caso01_1a7_ac_in1_1.csv"
"108",12,"west_windows_convection_gain",2067.09451414284,"U001_Caso01_1a7_ac_in1_1.csv"
"109",1,"none_roof_convection_loss",-927.16065824258,"U001_Caso01_1a7_ac_in1_1.csv"
"110",1,"none_floor_convection_loss",-3254.00924269606,"U001_Caso01_1a7_ac_in1_1.csv"
"111",1,"none_intwalls_convection_loss",-4182.76192009142,"U001_Caso01_1a7_ac_in1_1.csv"
"112",1,"south_extwalls_convection_loss",-3704.99674527616,"U001_Caso01_1a7_ac_in1_1.csv"
"113",1,"north_extwalls_convection_loss",-2328.23776653905,"U001_Caso01_1a7_ac_in1_1.csv"
"114",1,"west_extwalls_convection_loss",-6263.73830547457,"U001_Caso01_1a7_ac_in1_1.csv"
"115",1,"east_extwalls_convection_loss",-1326.48217793686,"U001_Caso01_1a7_ac_in1_1.csv"
"116",1,"south_windows_convection_loss",-4691.34836934086,"U001_Caso01_1a7_ac_in1_1.csv"
"117",1,"west_windows_convection_loss",-3926.76690602695,"U001_Caso01_1a7_ac_in1_1.csv"
"118",2,"none_roof_convection_loss",-641.638667902408,"U001_Caso01_1a7_ac_in1_1.csv"
"119",2,"none_floor_convection_loss",-3370.84536453349,"U001_Caso01_1a7_ac_in1_1.csv"
"120",2,"none_intwalls_convection_loss",-4236.5965180278,"U001_Caso01_1a7_ac_in1_1.csv"
"121",2,"south_extwalls_convection_loss",-4760.64649287612,"U001_Caso01_1a7_ac_in1_1.csv"
"122",2,"north_extwalls_convection_loss",-1957.81231735678,"U001_Caso01_1a7_ac_in1_1.csv"
"123",2,"west_extwalls_convection_loss",-6416.84348275556,"U001_Caso01_1a7_ac_in1_1.csv"
"124",2,"east_extwalls_convection_loss",-1139.33754165758,"U001_Caso01_1a7_ac_in1_1.csv"
"125",2,"south_windows_convection_loss",-4120.12233725408,"U001_Caso01_1a7_ac_in1_1.csv"
"126",2,"west_windows_convection_loss",-3372.63214267157,"U001_Caso01_1a7_ac_in1_1.csv"
"127",3,"none_roof_convection_loss",-1805.88850596203,"U001_Caso01_1a7_ac_in1_1.csv"
"128",3,"none_floor_convection_loss",-2550.65499582393,"U001_Caso01_1a7_ac_in1_1.csv"
"129",3,"none_intwalls_convection_loss",-4240.06548140972,"U001_Caso01_1a7_ac_in1_1.csv"
"130",3,"south_extwalls_convection_loss",-7999.73928970736,"U001_Caso01_1a7_ac_in1_1.csv"
"131",3,"north_extwalls_convection_loss",-2322.18999556798,"U001_Caso01_1a7_ac_in1_1.csv"
"132",3,"west_extwalls_convection_loss",-9012.2756311366,"U001_Caso01_1a7_ac_in1_1.csv"
"133",3,"east_extwalls_convection_loss",-1651.00844053987,"U001_Caso01_1a7_ac_in1_1.csv"
"134",3,"south_windows_convection_loss",-5285.23804713525,"U001_Caso01_1a7_ac_in1_1.csv"
"135",3,"west_windows_convection_loss",-4213.09729772853,"U001_Caso01_1a7_ac_in1_1.csv"
"136",4,"none_roof_convection_loss",-4431.23403031657,"U001_Caso01_1a7_ac_in1_1.csv"
"137",4,"none_floor_convection_loss",-2187.16483729988,"U001_Caso01_1a7_ac_in1_1.csv"
"138",4,"none_intwalls_convection_loss",-4369.77777224149,"U001_Caso01_1a7_ac_in1_1.csv"
"139",4,"south_extwalls_convection_loss",-9837.05788995651,"U001_Caso01_1a7_ac_in1_1.csv"
"140",4,"north_extwalls_convection_loss",-2584.63529211815,"U001_Caso01_1a7_ac_in1_1.csv"
"141",4,"west_extwalls_convection_loss",-10466.7635675394,"U001_Caso01_1a7_ac_in1_1.csv"
"142",4,"east_extwalls_convection_loss",-2250.50129036278,"U001_Caso01_1a7_ac_in1_1.csv"
"143",4,"south_windows_convection_loss",-6303.91958861223,"U001_Caso01_1a7_ac_in1_1.csv"
"144",4,"west_windows_convection_loss",-4992.57998736573,"U001_Caso01_1a7_ac_in1_1.csv"
"145",5,"none_roof_convection_loss",-10419.248611572,"U001_Caso01_1a7_ac_in1_1.csv"
"146",5,"none_floor_convection_loss",-4291.9932443747,"U001_Caso01_1a7_ac_in1_1.csv"
"147",5,"none_intwalls_convection_loss",-7174.17307592483,"U001_Caso01_1a7_ac_in1_1.csv"
"148",5,"south_extwalls_convection_loss",-15577.4365236738,"U001_Caso01_1a7_ac_in1_1.csv"
"149",5,"north_extwalls_convection_loss",-3448.07729350009,"U001_Caso01_1a7_ac_in1_1.csv"
"150",5,"west_extwalls_convection_loss",-14822.3990993099,"U001_Caso01_1a7_ac_in1_1.csv"
"151",5,"east_extwalls_convection_loss",-4044.40688846035,"U001_Caso01_1a7_ac_in1_1.csv"
"152",5,"south_windows_convection_loss",-9176.69612554188,"U001_Caso01_1a7_ac_in1_1.csv"
"153",5,"west_windows_convection_loss",-7089.32677168234,"U001_Caso01_1a7_ac_in1_1.csv"
"154",6,"none_roof_convection_loss",-15376.4451568078,"U001_Caso01_1a7_ac_in1_1.csv"
"155",6,"none_floor_convection_loss",-10623.0548663524,"U001_Caso01_1a7_ac_in1_1.csv"
"156",6,"none_intwalls_convection_loss",-10607.59912418,"U001_Caso01_1a7_ac_in1_1.csv"
"157",6,"south_extwalls_convection_loss",-16294.2366532853,"U001_Caso01_1a7_ac_in1_1.csv"
"158",6,"north_extwalls_convection_loss",-3345.6569397319,"U001_Caso01_1a7_ac_in1_1.csv"
"159",6,"west_extwalls_convection_loss",-14360.159816409,"U001_Caso01_1a7_ac_in1_1.csv"
"160",6,"east_extwalls_convection_loss",-4330.51977783614,"U001_Caso01_1a7_ac_in1_1.csv"
"161",6,"south_windows_convection_loss",-9146.21071683386,"U001_Caso01_1a7_ac_in1_1.csv"
"162",6,"west_windows_convection_loss",-7072.15764818201,"U001_Caso01_1a7_ac_in1_1.csv"
"163",7,"none_roof_convection_loss",-18258.3014779818,"U001_Caso01_1a7_ac_in1_1.csv"
"164",7,"none_floor_convection_loss",-13209.5799733492,"U001_Caso01_1a7_ac_in1_1.csv"
"165",7,"none_intwalls_convection_loss",-12514.656607163,"U001_Caso01_1a7_ac_in1_1.csv"
"166",7,"south_extwalls_convection_loss",-19266.1034053977,"U001_Caso01_1a7_ac_in1_1.csv"
"167",7,"north_extwalls_convection_loss",-3489.74621923209,"U001_Caso01_1a7_ac_in1_1.csv"
"168",7,"west_extwalls_convection_loss",-15459.9019795115,"U001_Caso01_1a7_ac_in1_1.csv"
"169",7,"east_extwalls_convection_loss",-4933.71425541984,"U001_Caso01_1a7_ac_in1_1.csv"
"170",7,"south_windows_convection_loss",-10972.3682792699,"U001_Caso01_1a7_ac_in1_1.csv"
"171",7,"west_windows_convection_loss",-8447.40499914769,"U001_Caso01_1a7_ac_in1_1.csv"
"172",8,"none_roof_convection_loss",-11328.6734478979,"U001_Caso01_1a7_ac_in1_1.csv"
"173",8,"none_floor_convection_loss",-9683.39926644229,"U001_Caso01_1a7_ac_in1_1.csv"
"174",8,"none_intwalls_convection_loss",-9933.32088922145,"U001_Caso01_1a7_ac_in1_1.csv"
"175",8,"south_extwalls_convection_loss",-17880.5086292005,"U001_Caso01_1a7_ac_in1_1.csv"
"176",8,"north_extwalls_convection_loss",-3912.17270542435,"U001_Caso01_1a7_ac_in1_1.csv"
"177",8,"west_extwalls_convection_loss",-15355.817554224,"U001_Caso01_1a7_ac_in1_1.csv"
"178",8,"east_extwalls_convection_loss",-4444.93358125368,"U001_Caso01_1a7_ac_in1_1.csv"
"179",8,"south_windows_convection_loss",-10609.6266278967,"U001_Caso01_1a7_ac_in1_1.csv"
"180",8,"west_windows_convection_loss",-8232.63011498555,"U001_Caso01_1a7_ac_in1_1.csv"
"181",9,"none_roof_convection_loss",-3856.70381686383,"U001_Caso01_1a7_ac_in1_1.csv"
