"","month","gains_losses","value","case","city","app","case_graph","gains","exchange","MonthAbb","per"
"69",12,"none_intwalls_convection_gain",75919.0668710012,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Dec",0.2599
"70",12,"south_extwalls_convection_gain",29534.3841468941,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Dec",0.1011
"71",12,"east_extwalls_convection_gain",48731.0145456522,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Dec",0.1668
"72",12,"south_windows_convection_gain",3541.29811425801,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_windows","Dec",0.0121
"73",1,"none_roof_convection_loss",-312.35367641059,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Jan",0.0012
"74",1,"none_floor_convection_loss",-2885.35753260197,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Jan",0.0114
"75",1,"none_intwalls_convection_loss",-7820.68557662396,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Jan",0.031
"76",1,"south_extwalls_convection_loss",-37.708610154904,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Jan",1e-04
"77",1,"east_extwalls_convection_loss",-26.8021610658175,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Jan",1e-04
"78",1,"south_windows_convection_loss",-2438.32600851036,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Jan",0.0097
"79",2,"none_roof_convection_loss",-307.042709051464,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Feb",0.0015
"80",2,"none_floor_convection_loss",-2371.82871160185,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Feb",0.0113
"81",2,"none_intwalls_convection_loss",-6314.08807740908,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Feb",0.03
"82",2,"south_extwalls_convection_loss",-176.447852306037,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Feb",8e-04
"83",2,"east_extwalls_convection_loss",-53.6388760019515,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Feb",3e-04
"84",2,"south_windows_convection_loss",-2077.34638156834,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Feb",0.0099
"85",3,"none_roof_convection_loss",-159.560759401358,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Mar",8e-04
"86",3,"none_floor_convection_loss",-2548.88011842407,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Mar",0.0127
"87",3,"none_intwalls_convection_loss",-5506.91720595363,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Mar",0.0275
"88",3,"south_extwalls_convection_loss",-792.402536387311,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls","Mar",0.004
"89",3,"east_extwalls_convection_loss",-27.9820676229906,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls","Mar",1e-04
"90",3,"south_windows_convection_loss",-1798.93551071464,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows","Mar",0.009
"91",4,"none_roof_convection_loss",-123.553123396197,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof","Apr",6e-04
"92",4,"none_floor_convection_loss",-2492.95830839273,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor","Apr",0.0121
"93",4,"none_intwalls_convection_loss",-5390.29393036649,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls","Apr",0.0262
